category,segment_value,total,errors,error_rate
Sector,employment,71,31,0.43661971830985913
Sector,entertainment,81,26,0.32098765432098764
Sector,finance,118,52,0.4406779661016949
Sector,marketing,123,36,0.2926829268292683
Sector,medical,196,78,0.3979591836734694
Sector,retail,264,106,0.4015151515151515
Sector,services,79,36,0.45569620253164556
Sector,software,126,48,0.38095238095238093
Sector,technolgy,197,86,0.4365482233502538
Sector,telecommunications,88,33,0.375
Product Type,GTK 500,3,0,0.0
Product Type,GTX Basic,271,95,0.3505535055350554
Product Type,GTX Plus Basic,221,91,0.4117647058823529
Product Type,GTX Plus Pro,159,61,0.3836477987421384
Product Type,GTXPro,235,90,0.3829787234042553
Product Type,MG Advanced,218,102,0.46788990825688076
Product Type,MG Special,236,93,0.3940677966101695
Price Range,"(54.999, 550.0]",507,188,0.3708086785009862
Price Range,"(550.0, 1096.0]",456,181,0.3969298245614035
Price Range,"(1096.0, 3393.0]",218,102,0.46788990825688076
Price Range,"(3393.0, 26768.0]",162,61,0.3765432098765432
